fips,population,median_income,business_count
01001,58761,68315,924
01003,233420,71039,5992
01005,24877,39712,423
01007,22251,50669,298
01009,59077,57440,726
01011,10328,36136,114
01013,18981,44429,430
01015,116162,54339,2222
01017,34612,48805,599
01019,25069,46621,369
01021,45140,62471,775
01023,12669,43299,244
01025,23058,47549,594
01027,14209,48074,190
01029,15144,51553,178
01031,53559,62199,991
01033,57270,56149,1244
01035,11576,39888,206
01037,10329,52279,95
01039,37542,48772,832
01041,13205,48557,229
01043,88284,58119,1786
01045,49455,52813,715
01047,38326,37180,675
01049,71680,47920,1154
01051,87694,73258,1255
01053,36755,41153,755
01055,103348,52177,1925
01057,16297,45650,265
01059,32011,47359,529
01061,26647,47608,429
01063,7706,32796,95
01065,14742,35851,188
01067,17282,58395,299
01069,107040,55064,2776
01071,52618,46748,837
01073,672265,63595,16851
01075,13885,49565,242
01077,94329,56081,1959
01079,33116,54786,403
01081,175126,59288,3124
01083,104199,80146,1535
01085,10153,33125,112
01087,19198,41206,200
01089,389781,78058,8881
01091,19180,42975,440
01093,29203,49743,548
01095,97923,58272,1880
01097,413878,55352,9283
01099,19816,39965,397
01101,228132,56707,5523
01103,123102,61588,2637
01105,8479,32332,106
01107,18925,45339,246
01109,32997,42616,647
01111,22179,49879,348
01113,58849,47420,831
01115,91719,73218,1416
01117,223916,90618,5447
01119,12196,31726,193
01121,81105,52457,1244
01123,41251,53282,789
01125,231558,61645,4166
01127,64978,52987,1247
01129,15434,51184,209
01131,10441,38208,180
01133,23655,49494,411
02013,3407,79961,58
02016,5219,100662,115
02020,290674,95731,8769
02050,18538,64094,213
02060,854,94167,105
02068,2101,87292,105
02070,4854,69412,108
02090,96299,81655,2542
02100,2079,68276,135
02105,2329,62344,83
02110,32108,95711,1109
02122,59235,76272,2287
02130,13910,82763,576
02150,13065,91138,457
02158,8372,42663,69
02164,999,61607,53
02170,108661,86435,2609
02180,10018,70121,174
02185,10924,83472,146
02188,7682,77647,68
02195,3374,77826,163
02198,5799,61779,172
02220,8462,95261,385
02230,1303,79583,98
02240,6888,75378,165
02275,2134,61000,98
02282,564,76875,30
02290,5355,47826,95
04001,66054,37483,445
04003,125504,58421,2112
04005,144705,67266,3836
04007,53419,55242,1039
04009,38453,64089,542
04011,9483,73756,84
04012,16681,46634,329
04013,4430871,80675,104022
04015,214229,53592,4108
04017,107110,50335,1791
04019,1042393,64323,20694
04021,433338,73313,4232
04023,47838,51885,1089
04025,237830,62430,6292
04027,204374,56439,3244
05001,17024,58695,494
05003,19018,44804,344
05005,41801,47403,1088
05007,286528,85269,7298
05009,37662,52275,857
05011,10461,43688,246
05013,4773,60237,56
05015,28362,56826,709
05017,10234,36593,191
05019,21469,48071,531
05021,14537,44685,281
05023,24948,52780,596
05025,7548,48913,74
05027,22707,47441,533
05029,20782,50282,406
05031,111038,55169,2651
05033,60593,56702,1056
05035,47945,51860,834
05037,16827,48129,365
05039,6472,40085,171
05041,11285,38067,284
05043,17309,44968,412
05045,124611,61273,2855
05047,17160,47695,298
05049,12183,38917,165
05051,100021,54229,2858
05053,18022,68598,291
05055,45954,54879,794
05057,20037,45049,375
05059,33129,50260,504
05061,12779,44824,264
05063,37910,52361,797
05065,13748,46159,212
05067,16784,41929,307
05069,66934,46855,1229
05071,25925,42470,381
05073,6277,40262,104
05075,16258,43606,279
05077,8666,33801,112
05079,13016,50526,153
05081,12024,58627,168
05083,21247,51131,360
05085,74292,68078,1109
05087,16737,51514,227
05089,16905,42891,239
05091,42682,47613,719
05093,40361,50012,752
05095,6787,41786,183
05097,8555,47103,133
05099,8292,43421,120
05101,7243,50699,87
05103,22606,47348,479
05105,10055,53980,121
05107,16373,37458,339
05109,10205,49248,219
05111,22997,43440,327
05113,19384,48449,418
05115,63475,51678,1549
05117,8217,47045,139
05119,398322,58326,12300
05121,18619,45993,318
05123,23138,39822,438
05125,123988,73236,2204
05127,9871,45340,137
05129,7880,42063,119
05131,128184,54047,3322
05133,15913,53567,254
05135,17422,43332,312
05137,12393,37664,241
05139,38815,49745,1036
05141,15900,45768,308
05143,247331,61985,5919
05145,77118,51144,1602
05147,6259,49608,128
05149,20342,55879,313
06001,1663823,122488,41470
06003,1515,101125,47
